Layer,Name,GEOID,Population,Longitude,Latitude,EKW_2024,INC_2019-2023,CZM_2023,EDB_2019-2023
Census tract,Tract 2809,17031280900,1077,-87.68513240,41.87862610,13.83,,101.0,96.6501240694789
Census tract,Tract 2819,17031281900,7031,-87.64292360,41.87863460,16.04,125918.0,308.0,99.1748595505618
Census tract,Tract 2827,17031282700,2558,-87.68868120,41.87136680,15.25,88646.0,216.0,95.28301886792453
Census tract,Tract 2828,17031282800,1634,-87.68491360,41.87026830,16.67,85000.0,45.0,92.81164695177434
Census tract,Tract 2831,17031283100,2717,-87.66409200,41.86927410,15.25,61805.99999999999,128.0,86.99464198733561
Census tract,Tract 2832,17031283200,1670,-87.65920230,41.86957900,17.17,64222.99999999999,103.0,97.46059544658496
Census tract,Tract 2838,17031283800,3343,-87.65375470,41.86341680,14.17,86102.99999999999,120.0,93.9754260800634
Census tract,Tract 2909,17031290900,3975,-87.73245670,41.86241030,13.0,46189.0,256.0,81.97855413351782
Census tract,Tract 2912,17031291200,2286,-87.71287460,41.86266110,13.58,24554.999999999996,203.0,81.68498168498168
Census tract,Tract 2916,17031291600,874,-87.69221590,41.85764150,15.67,125050.0,27.0,66.09485368314833
Census tract,Tract 2922,17031292200,2942,-87.71573060,41.85666650,11.33,37028.0,175.0,83.29979879275655
Census tract,Tract 2924,17031292400,2041,-87.72239920,41.85523970,13.08,40151.99999999999,178.0,81.83421516754849
Census tract,Tract 2925,17031292500,4057,-87.73224280,41.85516130,12.88,54967.99999999999,215.0,84.38552188552188
Census tract,Tract 3005,17031300500,3243,-87.72193930,41.84742510,15.33,76022.99999999999,68.0,65.97711267605634
Census tract,Tract 3006,17031300600,3253,-87.71733430,41.84799040,15.42,51091.99999999999,116.0,56.11439842209073
Census tract,Tract 3007,17031300700,4798,-87.71245040,41.84807200,12.83,49205.99999999999,175.0,63.87748658035997
Census tract,Tract 3008,17031300800,4136,-87.70758180,41.84811080,15.08,31160.999999999996,138.0,66.59212880143113
Census tract,Tract 3009,17031300900,4553,-87.70269930,41.84817960,13.72,34258.99999999999,124.0,62.738367658276125
Census tract,Tract 3011,17031301100,2323,-87.69797340,41.84702900,14.42,44597.99999999999,74.0,52.61261261261261
Census tract,Tract 3012,17031301200,4087,-87.69147710,41.84841710,14.67,53653.99999999999,82.0,74.01273885350318
Census tract,Tract 3016,17031301600,4995,-87.71225200,41.84075720,13.42,30158.0,110.0,57.05546492659054
Census tract,Tract 3017.01,17031301701,4279,-87.71962540,41.84248050,14.17,56459.99999999999,102.0,58.06658130601793
Census tract,Tract 3017.02,17031301702,4121,-87.71952440,41.83880620,12.5,68999.99999999999,38.0,57.26086956521739
Census tract,Tract 3018.01,17031301801,3947,-87.73505090,41.84165970,13.25,48944.0,66.0,74.86296006264683
Census tract,Tract 3018.02,17031301802,3376,-87.72775920,41.84518460,15.89,25512.999999999996,164.0,71.63573085846868
Census tract,Tract 3018.03,17031301803,5107,-87.72787080,41.83954970,12.33,59212.99999999999,113.0,68.07493025109605
Census tract,Tract 3102,17031310200,1588,-87.64420910,41.85631000,17.33,122422.0,97.0,93.75896700143473
Census tract,Tract 3103,17031310300,1767,-87.64897820,41.85614390,17.67,75605.0,85.0,76.21035058430718
Census tract,Tract 3104,17031310400,1375,-87.65226130,41.85650690,15.5,80786.0,54.0,85.78154425612053
Census tract,Tract 3105,17031310500,1399,-87.65474000,41.85524800,18.17,52343.99999999999,71.0,69.68864468864469
Census tract,Tract 3106,17031310600,5498,-87.65956370,41.85633300,17.58,75603.99999999999,230.0,84.91778006166496
Census tract,Tract 3107,17031310700,1700,-87.66490610,41.85599030,17.0,72683.99999999999,67.0,76.4021164021164
